Items_RU = {
	/* Created by PZTranslationAssistant */
	/* Datetime: Sat Oct 17 22:00:28 MSK 2020 */

	DisplayName_Cassette_AC_DC___Highway_To_Hell_(1979) = "Кассета  ACDC - Highway To Hell (1979)",
	DisplayName_Vinyl_AC_DC___Highway_To_Hell_(1979) = "Винил  ACDC - Highway To Hell (1979)",
	DisplayName_Cassette_Air_Supply___Making_Love_Out_Of_Nothing_At_All_(1983) = "Кассета  Air Supply - Making Love Out Of Nothing At All (1983)",
	DisplayName_Vinyl_Air_Supply___Making_Love_Out_Of_Nothing_At_All_(1983) = "Винил  Air Supply - Making Love Out Of Nothing At All (1983)",
	DisplayName_Cassette_Alabama___Christmas_In_Dixie_(1985) = "Кассета  Alabama - Christmas In Dixie (1985)",
	DisplayName_Vinyl_Alabama___Christmas_In_Dixie_(1985) = "Винил  Alabama - Christmas In Dixie (1985)",
	DisplayName_Cassette_Alice_Cooper___Poison_(1989) = "Кассета  Alice Cooper - Poison (1989)",
	DisplayName_Vinyl_Alice_Cooper___Poison_(1989) = "Винил  Alice Cooper - Poison (1989)",
	DisplayName_Cassette_Bee_Gees___Stayin_Alive_(1977) = "Кассета  Bee Gees - Stayin Alive (1977)",
	DisplayName_Vinyl_Bee_Gees___Stayin_Alive_(1977) = "Винил  Bee Gees - Stayin Alive (1977)",
	DisplayName_Cassette_Blondie___Call_Me_(1978) = "Кассета  Blondie - Call Me (1978)",
	DisplayName_Vinyl_Blondie___Call_Me_(1978) = "Винил  Blondie - Call Me (1978)",
	DisplayName_Cassette_Blondie___Heart_Of_Glass_(1976) = "Кассета  Blondie - Heart Of Glass (1976)",
	DisplayName_Vinyl_Blondie___Heart_Of_Glass_(1976) = "Винил  Blondie - Heart Of Glass (1976)",
	DisplayName_Cassette_Bobby_Darin___Dream_Lover_(1987) = "Кассета  Bobby Darin - Dream Lover (1987)",
	DisplayName_Vinyl_Bobby_Darin___Dream_Lover_(1987) = "Винил  Bobby Darin - Dream Lover (1987)",
	DisplayName_Cassette_Bon_Jovi___Livin_On_A_Prayer_(1986) = "Кассета  Bon Jovi - Livin On A Prayer (1986)",
	DisplayName_Cassette_Bon_Jovi___You_Give_Love_A_Bad_Name_(1986) = "Кассета  Bon Jovi - You Give Love A Bad Name (1986)",
	DisplayName_Cassette_Boney_M___Rasputin_(1978) = "Кассета  Boney M - Rasputin (1978)",
	DisplayName_Vinyl_Boney_M___Rasputin_(1978) = "Винил  Boney M - Rasputin (1978)",
	DisplayName_Cassette_Bonnie_Tyler___Holding_Out_For_A_Hero_(1984) = "Кассета  Bonnie Tyler - Holding Out For A Hero (1984)",
	DisplayName_Cassette_Bonnie_Tyler___Total_Eclipse_Of_The_Heart_(1983) = "Кассета  Bonnie Tyler - Total Eclipse Of The Heart (1983)",
	DisplayName_Cassette_Bryan_Adams___I_Do_It_For_You_(1991) = "Кассета  Bryan Adams - I Do It For You (1991)",
	DisplayName_Cassette_Charley_Pride___Kiss_An_Angel_Good_Morning_(1971) = "Кассета  Charley Pride - Kiss An Angel Good Morning (1971)",
	DisplayName_Cassette_Cyndi_Lauper___Time_After_Time_(1983) = "Кассета  Cyndi Lauper - Time After Time (1983)",
	DisplayName_Cassette_Dead_Or_Alive___You_Spin_Me_Round_(1984) = "Кассета  Dead Or Alive - You Spin Me Round (1984)",
	DisplayName_Cassette_Depeche_Mode___Personal_Jesus_(1989) = "Кассета  Depeche Mode - Personal Jesus (1989)",
	DisplayName_Cassette_Dolly_Parton___Hard_Candy_Christmas_(1982) = "Кассета  Dolly Parton - Hard Candy Christmas (1982)",
	DisplayName_Cassette_Flatt_And_Scruggs___Foggy_Mountain_Breakdown_(1968) = "Кассета  Flatt And Scruggs - Foggy Mountain Breakdown (1968)",
	DisplayName_Cassette_Foreigner___I_Want_To_Know_What_Love_Is_(1984) = "Кассета  Foreigner - I Want To Know What Love Is (1984)",
	DisplayName_Cassette_George_Benson___Nothings_Gonna_Change_(1985) = "Кассета  George Benson - Nothings Gonna Change (1985)",
	DisplayName_Cassette_Israel_Kamakawiwoole___Over_The_Rainbow_(1990) = "Кассета  Israel Kamakawiwoole - Over The Rainbow (1990)",
	DisplayName_Cassette_John_Denver___Take_Me_Home_Country_Roads_(1971) = "Кассета  John Denver - Take  Me  Home Country Roads (1971)",
	DisplayName_Cassette_Jona_Lewie___Stop_The_Cavalry_(1978) = "Кассета  Jona Lewie - Stop The Cavalry (1978)",
	DisplayName_Cassette_Jose_Feliciano___Feliz_Navidad_(1970) = "Кассета  Jose Feliciano - Feliz Navidad (1970)",
	DisplayName_Cassette_Journey___Dont_Stop_Believin_(1981) = "Кассета  Journey - Dont Stop Believin (1981)",
	DisplayName_Cassette_Kenny_Loggins___Danger_Zone_(1986) = "Кассета  Kenny Loggins - Danger Zone (1986)",
	DisplayName_Cassette_Kiss___I_Was_Made_For_Lovin_You_(1979) = "Кассета  Kiss - I Was Made For Lovin You (1979)",
	DisplayName_Cassette_Linda_Ronstadt_And_Aaron_Neville___Dont_Know_Much_(1989) = "Кассета  Linda Ronstadt And Aaron Neville - Dont Know Much (1989)",
	DisplayName_Cassette_Metallica___Nothing_Else_Matters_(1991) = "Кассета  Metallica - Nothing Else Matters (1991)",
	DisplayName_Cassette_Metallica___The_Unforgiven_(1991) = "Кассета  Metallica - The Unforgiven (1991)",
	DisplayName_Cassette_Michael_Jackson___Billie_Jean_(1982) = "Кассета  Michael Jackson - Billie Jean (1982)",
	DisplayName_Cassette_Nirvana___Smells_Like_Teen_Spirit_(1991) = "Кассета  Nirvana - Smells Like Teen Spirit (1991)",
	DisplayName_Cassette_Paul_Engemann___Push_It_To_The_Limit_(1983) = "Кассета  Paul Engemann - Push It To The Limit (1983)",
	DisplayName_Cassette_Paula_Abdul___Straight_Up_(1988) = "Кассета  Paula Abdul - Straight Up (1988)",
	DisplayName_Cassette_Pepe___Shadilay_(1986) = "Кассета  Pepe - Shadilay (1986)",
	DisplayName_Cassette_Queen___39_(1975) = "Кассета  Queen - 39 (1975)",
	DisplayName_Cassette_Queen___We_Are_The_Champions_(1977) = "Кассета  Queen - We Are The Champions (1977)",
	DisplayName_Cassette_Queen___We_Will_Rock_You_(1977) = "Кассета  Queen - We Will Rock You (1977)",
	DisplayName_Cassette_R_E_M___Losing_My_Religion_(1991) = "Кассета  REM - Losing My Religion (1991)",
	DisplayName_Cassette_Randy_Travis___Deeper_Than_The_Holler_(1988) = "Кассета  Randy Travis - Deeper Than The Holler (1988)",
	DisplayName_Cassette_Randy_Travis___Old_Time_Christmas_(1989) = "Кассета  Randy Travis - Old Time Christmas (1989)",
	DisplayName_Cassette_Scott_McKenzie___San_Francisco_(1967) = "Кассета  Scott McKenzie - San Francisco (1967)",
	DisplayName_Cassette_Snap___Rhythm_Is_A_Dancer_(1992) = "Кассета  Snap - Rhythm Is A Dancer (1992)",
	DisplayName_Cassette_Survivor___Eye_Of_The_Tiger_(1982) = "Кассета  Survivor - Eye Of The Tiger (1982)",
	DisplayName_Cassette_The_B_52s___Love_Shack_(1989) = "Кассета  The B 52s - Love Shack (1989)",
	DisplayName_Cassette_The_Beatles___Come_Together_(1969) = "Кассета  The Beatles - Come Together (1969)",
	DisplayName_Cassette_The_Beatles___Eleanor_Rigby_(1966) = "Кассета  The Beatles - Eleanor Rigby (1966)",
	DisplayName_Cassette_The_Pogues___Fairytale_Of_New_York_(1987) = "Кассета  The Pogues - Fairytale Of New York (1987)",
	DisplayName_Cassette_The_Temptations___Papa_Was_A_Rolling_Stone_(1972) = "Кассета  The Temptations - Papa Was A Rolling Stone (1972)",
	DisplayName_Cassette_The_Weather_Girls___Its_Raining_Men_(1983) = "Кассета  The Weather Girls - Its Raining Men (1983)",
	DisplayName_Cassette_Toto___Africa_(1982) = "Кассета  Toto - Africa (1982)",
	DisplayName_Cassette_Toto___Hold_The_Line_(1978) = "Кассета  Toto - Hold The Line (1978)",
	DisplayName_Cassette_Wham___Last_Christmas_(1984) = "Кассета  Wham - Last Christmas (1984)",
	DisplayName_Cassette_Whitney_Houston___I_Will_Always_Love_You_(1992) = "Кассета  Whitney Houston - I Will Always Love You (1992)",
	DisplayName_Vinyl_Andy_Williams___Its_The_Most_Wonderful_Time_Of_The_Year_(1963) = "Винил Andy Williams - Its The Most Wonderful Time Of The Year (1963)",
	DisplayName_Vinyl_Benny_Goodman___Thats_A_Plenty_(1931) = "Винил Benny Goodman - Thats A Plenty (1931)",
	DisplayName_Vinyl_Bill_Haley___Rock_Around_The_Clock_(1955) = "Винил Bill Haley - Rock Around The Clock (1955)",
	DisplayName_Vinyl_Bing_Crosby___I_Will_Be_Home_For_Christmas_(1943) = "Винил Bing Crosby - I Will Be Home For Christmas (1943)",
	DisplayName_Vinyl_Bing_Crosby___White_Christmas_(1942) = "Винил Bing Crosby - White Christmas (1942)",
	DisplayName_Vinyl_Bing_Crosby___Winter_Wonderland_(1945) = "Винил Bing Crosby - Winter Wonderland (1945)",
	DisplayName_Vinyl_Bobby_Darin___Brand_New_House_(1958) = "Винил Bobby Darin - Brand New House (1958)",
	DisplayName_Vinyl_Bobby_Darin___Hallelujah_I_Love_Her_So_(1956) = "Винил Bobby Darin - Hallelujah I Love Her So (1956)",
	DisplayName_Vinyl_Bobby_Helms___Jingle_Bell_Rock_(1957) = "Винил Bobby Helms - Jingle Bell Rock (1957)",
	DisplayName_Vinyl_Boots_Randolph___Yakety_Sax_(1963) = "Винил Boots Randolph - Yakety Sax (1963)",
